FNODE_,TNODE_,LPOLY_,RPOLY_,LENGTH,BBSRTSL020,ARC_LENGTH,RTENO,RTENAME,RTELENG,Shape_Leng,x,y
952.000000000000000,951.000000000000000,0.000000000000000,0.000000000000000,0.410900000000000,521.000000000000000,42031.099999999998545,14907.000000000000000,CHOLLA GARD.,42031.099999999998545,0.356968499031000,-116.050459172999993,33.983541821899998
954.000000000000000,953.000000000000000,0.000000000000000,0.000000000000000,0.459030000000000,522.000000000000000,45768.300000000002910,14131.000000000000000,JOSHUA TREE,45768.300000000002910,0.401177654964000,-116.296771582999995,34.104068702799999
3413.000000000000000,3411.000000000000000,0.000000000000000,0.000000000000000,0.391550000000000,1905.000000000000000,39616.400000000001455,55027.000000000000000,HIKO,39616.400000000001455,0.233466323706000,-115.190439068000003,37.466768892899999
3416.000000000000000,3412.000000000000000,0.000000000000000,0.000000000000000,0.400770000000000,1906.000000000000000,42200.599999999998545,55908.000000000000000,MEADOW VALLY,42200.599999999998545,0.108925941967000,-114.514726100000004,37.336308600300001
3420.000000000000000,3418.000000000000000,0.000000000000000,0.000000000000000,0.316020000000000,1907.000000000000000,34743.400000000001455,55130.000000000000000,DESERT NWR,34743.400000000001455,0.316015511869000,-115.301564839999998,36.806219942399999
3417.000000000000000,3414.000000000000000,0.000000000000000,0.000000000000000,0.428980000000000,1908.000000000000000,44601.900000000001455,55029.000000000000000,BEATTY,44601.900000000001455,0.428978513216000,-116.652249757999996,36.806156105500001
3423.000000000000000,3422.000000000000000,0.000000000000000,0.000000000000000,0.416990000000000,1909.000000000000000,40294.300000000002910,55031.000000000000000,VAL OF FIRE,40294.300000000002910,0.416987550089000,-114.595252344000002,36.437075116400003
3421.000000000000000,3419.000000000000000,0.000000000000000,0.000000000000000,0.385670000000000,1910.000000000000000,39687.800000000002910,55906.000000000000000,ASH MEADOWS,39687.800000000002910,0.385667768977000,-116.284362615000006,36.397191622000001
3424.000000000000000,3425.000000000000000,0.000000000000000,0.000000000000000,0.449490000000000,1911.000000000000000,44578.599999999998545,55032.000000000000000,JEAN LAKE,44578.599999999998545,0.449488110267000,-115.386668846999996,35.812514319999998
3427.000000000000000,3426.000000000000000,0.000000000000000,0.000000000000000,0.413620000000000,1912.000000000000000,42166.199999999997090,55033.000000000000000,NELSON,42166.199999999997090,0.413622090209000,-114.862555416000006,35.647206188399998
5620.000000000000000,5597.000000000000000,0.000000000000000,0.000000000000000,0.453970000000000,3207.000000000000000,45588.099999999998545,85169.000000000000000,SHIVWITZ,45588.099999999998545,0.309876804954000,-113.834377247999996,37.197221910200000
